frame,time_min,hyphal_area_px,hyphal_area_um2,hyphal_length_px,hyphal_length_um,branch_points,raw_junction_pixel_count,normalized_branch_point_count,tip_count,skan_graph_branches,skan_terminal_branches,skan_junction_to_junction_branches,length_growth_um_per_min,area_growth_um2_per_min,branch_growth_per_min
0,0.0,29585,29585.0,1485.2152954766502,1485.2152954766502,7,19,7,9,15,9,6,,,
1,1.0,29585,29585.0,1485.2152954766502,1485.2152954766502,7,19,7,9,15,9,6,0.0,0.0,0.0
2,2.0,29585,29585.0,1485.2152954766502,1485.2152954766502,7,19,7,9,15,9,6,0.0,0.0,0.0
3,3.0,4486,4486.0,198.05382386916236,198.05382386916236,0,0,0,14,7,0,0,-1287.1614716074878,-25099.0,-7.0
4,4.0,4575,4575.0,222.95331880577396,222.95331880577396,0,0,0,12,6,0,0,24.899494936611603,89.0,0.0
5,5.0,4275,4275.0,204.5391052434009,204.5391052434009,0,0,0,12,6,0,0,-18.41421356237305,-300.0,0.0
6,6.0,4256,4256.0,209.19595949289334,209.19595949289334,1,4,1,13,8,3,0,4.656854249492426,-19.0,1.0
7,7.0,3809,3809.0,177.29646455628165,177.29646455628165,0,0,0,11,6,0,0,-31.89949493661169,-447.0,-1.0
8,8.0,3853,3853.0,180.12489168102783,180.12489168102783,0,0,0,11,6,0,0,2.8284271247461845,44.0,0.0
9,9.0,3296,3296.0,158.9827560572969,158.9827560572969,0,0,0,12,6,0,0,-21.142135623730923,-557.0,0.0
10,10.0,2951,2951.0,143.3259018078045,143.3259018078045,0,0,0,12,6,0,0,-15.656854249492397,-345.0,0.0
11,11.0,3034,3034.0,147.8111831820431,147.8111831820431,0,0,0,12,6,0,0,4.485281374238582,83.0,0.0
12,12.0,3172,3172.0,129.01219330881975,129.01219330881975,0,0,0,12,6,0,0,-18.79898987322335,138.0,0.0
13,13.0,3203,3203.0,125.91168824543144,125.91168824543144,0,0,0,12,6,0,0,-3.1005050633883116,31.0,0.0
14,14.0,3203,3203.0,125.91168824543144,125.91168824543144,0,0,0,12,6,0,0,0.0,0.0,0.0
15,15.0,3394,3394.0,138.39696961967002,138.39696961967002,0,0,0,12,6,0,0,12.485281374238582,191.0,0.0
16,16.0,3369,3369.0,137.1543289325507,137.1543289325507,0,0,0,12,6,0,0,-1.2426406871193194,-25.0,0.0
17,17.0,3435,3435.0,141.8111831820431,141.8111831820431,0,0,0,12,6,0,0,4.6568542494923975,66.0,0.0
18,18.0,3677,3677.0,156.88225099390857,156.88225099390857,0,0,0,12,6,0,0,15.071067811865476,242.0,0.0
19,19.0,3488,3488.0,145.22539674441617,145.22539674441617,0,0,0,12,6,0,0,-11.656854249492397,-189.0,0.0
20,20.0,3488,3488.0,145.22539674441617,145.22539674441617,0,0,0,12,6,0,0,0.0,0.0,0.0
21,21.0,3461,3461.0,141.5685424949238,141.5685424949238,0,0,0,12,6,0,0,-3.656854249492369,-27.0,0.0
22,22.0,3667,3667.0,155.1543289325507,155.1543289325507,0,0,0,12,6,0,0,13.585786437626894,206.0,0.0
23,23.0,3835,3835.0,175.22539674441617,175.22539674441617,0,0,0,10,5,0,0,20.071067811865476,168.0,0.0
24,24.0,3649,3649.0,162.91168824543144,162.91168824543144,0,0,0,10,5,0,0,-12.313708498984738,-186.0,0.0
25,25.0,3429,3429.0,151.56854249492378,151.56854249492378,0,0,0,10,5,0,0,-11.34314575050766,-220.0,0.0
26,26.0,3429,3429.0,151.56854249492378,151.56854249492378,0,0,0,10,5,0,0,0.0,0.0,0.0
27,27.0,3401,3401.0,150.05382386916236,150.05382386916236,0,0,0,10,5,0,0,-1.514718625761418,-28.0,0.0
28,28.0,3319,3319.0,157.22539674441617,157.22539674441617,0,0,0,10,5,0,0,7.1715728752538155,-82.0,0.0
29,29.0,3303,3303.0,171.95331880577405,171.95331880577405,1,4,1,11,7,3,0,14.727922061357873,-16.0,1.0
30,30.0,3358,3358.0,163.05382386916236,163.05382386916236,0,0,0,10,5,0,0,-8.899494936611688,55.0,-1.0
