frame,time_min,object_count,mean_area_px,total_area_px,object_density_per_px2,mean_area_um2,total_area_um2,object_count_growth_per_min,total_area_growth_um2_per_min
0,0.0,34,746.2058823529412,25371,3.689236111111111e-05,746.2058823529412,25371.0,,
1,1.0,34,746.2058823529412,25371,3.689236111111111e-05,746.2058823529412,25371.0,0.0,0.0
2,2.0,34,746.2058823529412,25371,3.689236111111111e-05,746.2058823529412,25371.0,0.0,0.0
3,3.0,8,262.625,2101,8.680555555555556e-06,262.625,2101.0,-26.0,-23270.0
4,4.0,9,219.77777777777777,1978,9.765625e-06,219.77777777777777,1978.0,1.0,-123.0
5,5.0,8,255.25,2042,8.680555555555556e-06,255.25,2042.0,-1.0,64.0
6,6.0,7,293.42857142857144,2054,7.595486111111111e-06,293.42857142857144,2054.0,-1.0,12.0
7,7.0,7,261.0,1827,7.595486111111111e-06,261.0,1827.0,0.0,-227.0
8,8.0,7,261.2857142857143,1829,7.595486111111111e-06,261.2857142857143,1829.0,0.0,2.0
9,9.0,7,280.42857142857144,1963,7.595486111111111e-06,280.42857142857144,1963.0,0.0,134.0
10,10.0,7,259.14285714285717,1814,7.595486111111111e-06,259.14285714285717,1814.0,0.0,-149.0
11,11.0,7,242.28571428571428,1696,7.595486111111111e-06,242.28571428571428,1696.0,0.0,-118.0
12,12.0,6,307.6666666666667,1846,6.510416666666667e-06,307.6666666666667,1846.0,-1.0,150.0
13,13.0,6,292.5,1755,6.510416666666667e-06,292.5,1755.0,0.0,-91.0
14,14.0,6,292.8333333333333,1757,6.510416666666667e-06,292.8333333333333,1757.0,0.0,2.0
15,15.0,6,297.5,1785,6.510416666666667e-06,297.5,1785.0,0.0,28.0
16,16.0,6,293.3333333333333,1760,6.510416666666667e-06,293.3333333333333,1760.0,0.0,-25.0
17,17.0,6,295.0,1770,6.510416666666667e-06,295.0,1770.0,0.0,10.0
18,18.0,7,258.0,1806,7.595486111111111e-06,258.0,1806.0,1.0,36.0
19,19.0,8,219.75,1758,8.680555555555556e-06,219.75,1758.0,1.0,-48.0
20,20.0,8,219.75,1758,8.680555555555556e-06,219.75,1758.0,0.0,0.0
