frame_index,time_min,bacteria_count,total_bacteria_area_px,mean_bacteria_area_px,tracks_active,mean_speed_um_per_min
0,0.0,34,25371,746.2058823529412,34,
1,1.0,34,25371,746.2058823529412,34,0.0
2,2.0,34,25371,746.2058823529412,34,0.0
3,3.0,8,2101,262.625,8,5.132668019935807
4,4.0,9,1978,219.77777777777777,9,6.005120214253095
5,5.0,8,2042,255.25,8,5.278843444538959
6,6.0,7,2054,293.42857142857144,7,3.1584946590249765
7,7.0,7,1827,261.0,7,2.412527156948527
8,8.0,7,1829,261.2857142857143,7,0.017381652927946918
9,9.0,7,1963,280.42857142857144,7,1.8882649771069893
10,10.0,7,1814,259.14285714285717,7,3.320010277542363
11,11.0,7,1696,242.28571428571428,7,1.6877517902790438
12,12.0,6,1846,307.6666666666667,6,1.6667323004625931
13,13.0,6,1755,292.5,6,1.634881517950752
14,14.0,6,1757,292.8333333333333,6,0.011299375084586026
15,15.0,6,1785,297.5,6,3.3610039801665788
16,16.0,6,1760,293.3333333333333,6,2.834556964677477
17,17.0,6,1770,295.0,6,3.007936054272326
18,18.0,7,1806,258.0,7,2.2273819640429267
19,19.0,8,1758,219.75,8,4.22980989745516
20,20.0,8,1758,219.75,8,0.0
21,21.0,8,1813,226.625,8,4.529429092394085
22,22.0,8,1874,234.25,8,4.4047676749283395
23,23.0,7,1908,272.57142857142856,7,3.7250034597313055
24,24.0,7,1898,271.14285714285717,7,3.0370425446646676
25,25.0,6,1876,312.6666666666667,6,1.1074052235919858
26,26.0,6,1877,312.8333333333333,6,0.01862259782360722
27,27.0,5,1890,378.0,5,1.602172322201404
28,28.0,6,1819,303.1666666666667,6,2.2513334728847214
29,29.0,6,1814,302.3333333333333,6,1.7680006243968769
30,30.0,6,1925,320.8333333333333,6,2.0076961612788087
31,31.0,7,1722,246.0,7,3.9391999253144383
32,32.0,7,1717,245.28571428571428,7,0.009145344858210771
33,33.0,7,1598,228.28571428571428,7,2.051357417240735
34,34.0,6,1534,255.66666666666666,6,1.3061995849592256
35,35.0,7,1558,222.57142857142858,7,0.2814264196016034
36,36.0,7,1554,222.0,7,2.5976741653376245
37,37.0,7,1503,214.71428571428572,7,3.136572230970262
38,38.0,7,1502,214.57142857142858,7,0.07505364427661883
39,39.0,7,1502,214.57142857142858,7,2.9005779040696873
40,40.0,5,1505,301.0,5,1.1440143520436945
41,41.0,5,1523,304.6,5,0.8908696593580497
42,42.0,5,1533,306.6,5,0.8376298774956066
43,43.0,7,1541,220.14285714285714,7,0.6402455528623706
44,44.0,7,1537,219.57142857142858,7,0.046420419430355006
45,45.0,7,1645,235.0,7,2.6614672204691194
46,46.0,7,1667,238.14285714285714,7,2.7484931467519087
47,47.0,6,1704,284.0,6,4.644723171829639
48,48.0,7,1649,235.57142857142858,7,4.118319105677397
49,49.0,7,1618,231.14285714285714,7,3.9963753995257725
50,50.0,7,1623,231.85714285714286,7,0.03866953243947276
51,51.0,7,1675,239.28571428571428,7,4.287431677779547
52,52.0,6,1722,287.0,6,3.2715850521528655
53,53.0,6,1659,276.5,6,2.55915711982667
54,54.0,6,1662,277.0,6,2.6092382037472857
55,55.0,6,1615,269.1666666666667,6,2.5268247006864457
56,56.0,6,1615,269.1666666666667,6,0.0
57,57.0,5,1645,329.0,5,1.04462004299721
58,58.0,8,1548,193.5,8,2.1451519223237607
59,59.0,8,1548,193.5,8,4.1698933836719725
60,60.0,8,1580,197.5,8,3.9861511723936016
61,61.0,8,1625,203.125,8,3.91332335474183
62,62.0,8,1625,203.125,8,0.0033026805617035098
63,63.0,7,1644,234.85714285714286,7,2.900725311174493
64,64.0,8,1690,211.25,8,2.8753539552199947
65,65.0,8,1769,221.125,8,3.295153208592029
66,66.0,9,1731,192.33333333333334,9,3.486421417279109
67,67.0,8,1694,211.75,8,3.294561324602328
68,68.0,8,1692,211.5,8,0.006946525504881411
69,69.0,9,1647,183.0,9,3.7051282430160466
70,70.0,9,1670,185.55555555555554,9,5.387334863193089
71,71.0,8,1775,221.875,8,4.074409266936208
72,72.0,8,1803,225.375,8,3.335226956026709
73,73.0,8,1864,233.0,8,4.106421875828489
74,74.0,8,1864,233.0,8,0.0
