frame,time_min,hyphal_area_px,hyphal_area_um2,hyphal_length_px,hyphal_length_um,branch_points,tip_count,skan_graph_branches,skan_terminal_branches,skan_junction_to_junction_branches,length_growth_um_per_min,area_growth_um2_per_min,branch_growth_per_min
0,0.0,18181,18181.0,1068.9310242291879,1068.9310242291879,3,13,11,7,1,,,
1,1.0,18949,18949.0,1117.0731598529192,1117.0731598529192,4,14,13,10,1,48.14213562373129,768.0,1.0
2,2.0,19257,19257.0,1161.9726547895307,1161.9726547895307,7,13,20,9,9,44.89949493661152,308.0,3.0
3,3.0,19988,19988.0,1147.5584412271576,1147.5584412271576,4,14,13,10,1,-14.414213562373106,731.0,-3.0
4,4.0,20541,20541.0,1173.5584412271576,1173.5584412271576,4,13,13,10,1,26.0,553.0,0.0
5,5.0,21115,21115.0,1224.913780286485,1224.913780286485,6,14,16,10,3,51.355339059327434,574.0,2.0
6,6.0,21371,21371.0,1263.8132752230965,1263.8132752230965,8,14,19,12,4,38.89949493661152,256.0,2.0
7,7.0,22257,22257.0,1295.0975464705589,1295.0975464705589,8,17,22,13,5,31.284271247462357,886.0,0.0
8,8.0,22631,22631.0,1324.2396820942897,1324.2396820942897,8,14,19,10,5,29.142135623730837,374.0,0.0
9,9.0,23355,23355.0,1335.8254685319162,1335.8254685319162,6,16,17,12,3,11.585786437626439,724.0,-2.0
10,10.0,23683,23683.0,1397.7665940288703,1397.7665940288703,11,15,24,13,7,61.9411254969541,328.0,5.0
11,11.0,24247,24247.0,1414.3523804664976,1414.3523804664976,9,14,21,10,6,16.58578643762735,564.0,-2.0
12,12.0,24852,24852.0,1444.837661840736,1444.837661840736,9,16,20,14,4,30.48528137423841,605.0,0.0
13,13.0,25303,25303.0,1505.39401102684,1505.39401102684,12,17,28,17,10,60.556349186103944,451.0,3.0
14,14.0,25705,25705.0,1564.1635636485405,1564.1635636485405,17,16,32,14,11,58.76955262170054,402.0,5.0
15,15.0,26120,26120.0,1510.3645737753172,1510.3645737753172,9,16,20,14,5,-53.79898987322326,415.0,-8.0
16,16.0,26535,26535.0,1568.506709399048,1568.506709399048,13,14,25,12,9,58.14213562373084,415.0,4.0
17,17.0,26817,26817.0,1572.0214280248094,1572.0214280248094,11,15,24,13,8,3.514718625761361,282.0,-2.0
18,18.0,27274,27274.0,1594.8914857098985,1594.8914857098985,14,15,24,15,7,22.870057685089023,457.0,3.0
19,19.0,27816,27816.0,1611.4772721475254,1611.4772721475254,9,17,22,15,6,16.585786437626894,542.0,-5.0
20,20.0,28261,28261.0,1612.234631460406,1612.234631460406,8,18,21,14,5,0.7573593128806806,445.0,-1.0
21,21.0,28888,28888.0,1655.5189027078682,1655.5189027078682,9,16,23,14,7,43.28427124746213,627.0,1.0
22,22.0,29092,29092.0,1720.7026688919414,1720.7026688919414,13,21,32,18,10,65.18376618407319,204.0,4.0
23,23.0,29668,29668.0,1770.1585130146573,1770.1585130146573,18,18,36,16,17,49.45584412271592,576.0,5.0
24,24.0,30105,30105.0,1795.8153672641497,1795.8153672641497,17,16,32,16,16,25.656854249492426,437.0,-1.0
25,25.0,30559,30559.0,1817.3006486383883,1817.3006486383883,18,15,36,15,18,21.48528137423864,454.0,1.0
26,26.0,30762,30762.0,1838.6143571373732,1838.6143571373732,17,15,36,15,17,21.31370849898485,203.0,-1.0
27,27.0,31179,31179.0,1815.2295808265228,1815.2295808265228,13,17,34,15,16,-23.384776310850384,417.0,-4.0
28,28.0,31519,31519.0,1851.5432893255079,1851.5432893255079,14,15,33,15,16,36.31370849898508,340.0,1.0
29,29.0,32068,32068.0,1864.9575028878808,1864.9575028878808,13,21,36,17,13,13.414213562372879,549.0,-1.0
30,30.0,32336,32336.0,1933.9991334482236,1933.9991334482236,18,20,46,16,22,69.04163056034281,268.0,5.0
31,31.0,32704,32704.0,1941.4133470105962,1941.4133470105962,19,17,40,17,20,7.414213562372652,368.0,1.0
32,32.0,33266,33266.0,1939.3422791987311,1939.3422791987311,14,18,33,18,12,-2.0710678118650776,562.0,-5.0
33,33.0,33642,33642.0,1979.9696961967006,1979.9696961967006,17,16,37,15,19,40.627416997969476,376.0,3.0
34,34.0,33861,33861.0,1992.7981233214466,1992.7981233214466,18,20,34,18,11,12.828427124745986,219.0,1.0
