frame,time_min,hyphal_area_px,hyphal_area_um2,hyphal_length_px,hyphal_length_um,branch_points,raw_junction_pixel_count,normalized_branch_point_count,tip_count,skan_graph_branches,skan_terminal_branches,skan_junction_to_junction_branches,length_growth_um_per_min,area_growth_um2_per_min,branch_growth_per_min
0,0.0,18815,18815.0,1118.6295090390229,1118.6295090390229,4,14,4,12,12,10,1,,,
1,1.0,19563,19563.0,1165.771644662754,1165.771644662754,5,17,5,13,14,11,2,47.142135623731065,748.0,1.0
2,2.0,19967,19967.0,1262.1269837220814,1262.1269837220814,10,44,10,14,28,12,14,96.35533905932743,404.0,5.0
3,3.0,20626,20626.0,1207.742207411231,1207.742207411231,5,15,5,13,14,11,2,-54.384776310850384,659.0,-5.0
4,4.0,21104,21104.0,1250.9848480983505,1250.9848480983505,7,36,7,12,20,11,8,43.24264068711955,478.0,2.0
5,5.0,21885,21885.0,1285.0975464705582,1285.0975464705582,7,24,7,13,17,11,4,34.11269837220766,781.0,0.0
6,6.0,22136,22136.0,1336.9676041556475,1336.9676041556475,10,31,10,16,26,14,9,51.87005768508925,251.0,3.0
7,7.0,22861,22861.0,1401.494516090228,1401.494516090228,12,43,12,16,32,14,15,64.52691193458054,725.0,2.0
8,8.0,23200,23200.0,1385.7665940288705,1385.7665940288705,11,36,11,15,27,13,11,-15.727922061357503,339.0,-1.0
9,9.0,23818,23818.0,1377.139177030901,1377.139177030901,7,24,7,15,18,13,4,-8.627416997969476,618.0,-4.0
10,10.0,24141,24141.0,1418.0803025278556,1418.0803025278556,9,31,9,13,23,11,8,40.941125496954555,323.0,2.0
11,11.0,24691,24691.0,1483.7077195258246,1483.7077195258246,12,42,12,14,27,12,11,65.62741699796902,550.0,3.0
12,12.0,25249,25249.0,1516.536146650571,1516.536146650571,10,44,10,17,28,15,11,32.82842712474644,558.0,-2.0
13,13.0,25662,25662.0,1574.2640687119288,1574.2640687119288,15,58,15,20,37,20,16,57.72792206135773,413.0,5.0
14,14.0,25936,25936.0,1617.8620484583755,1617.8620484583755,14,64,14,17,40,17,18,43.597979746446754,274.0,-1.0
15,15.0,26216,26216.0,1524.1219330881984,1524.1219330881984,10,31,10,17,22,15,6,-93.74011537017714,280.0,-4.0
16,16.0,26622,26622.0,1585.4062043356598,1585.4062043356598,12,42,12,15,27,13,10,61.28427124746145,406.0,2.0
17,17.0,26921,26921.0,1614.5777772109138,1614.5777772109138,15,58,15,15,36,13,18,29.171572875254014,299.0,3.0
18,18.0,27373,27373.0,1607.9625535217638,1607.9625535217638,14,40,14,15,27,15,9,-6.615223689150071,452.0,-1.0
19,19.0,27923,27923.0,1654.5189027078682,1654.5189027078682,12,38,12,17,28,15,11,46.5563491861044,550.0,-2.0
20,20.0,28342,28342.0,1624.5483399593907,1624.5483399593907,10,28,10,18,24,14,7,-29.970562748477505,419.0,-2.0
21,21.0,28951,28951.0,1667.8326112068526,1667.8326112068526,11,34,11,16,26,14,9,43.2842712474619,609.0,1.0
22,22.0,29155,29155.0,1724.4600282048225,1724.4600282048225,13,41,13,19,31,16,11,56.62741699796993,204.0,2.0
23,23.0,29729,29729.0,1757.3300858899108,1757.3300858899108,15,48,15,20,34,18,12,32.87005768508834,574.0,2.0
24,24.0,30160,30160.0,1783.8153672641502,1783.8153672641502,14,43,14,18,30,18,11,26.48528137423932,431.0,-1.0
25,25.0,30603,30603.0,1825.3717164502536,1825.3717164502536,16,57,16,17,37,17,16,41.55634918610349,443.0,2.0
26,26.0,30809,30809.0,1862.9991334482236,1862.9991334482236,16,54,16,16,38,16,17,37.62741699796993,206.0,0.0
27,27.0,31225,31225.0,1827.957502887881,1827.957502887881,13,47,13,19,38,17,17,-35.04163056034258,416.0,-3.0
28,28.0,31573,31573.0,1874.9280656363585,1874.9280656363585,15,51,15,18,39,18,18,46.970562748477505,348.0,2.0
29,29.0,32129,32129.0,1882.0996385116118,1882.0996385116118,14,50,14,21,39,17,15,7.171572875253332,556.0,-1.0
30,30.0,32402,32402.0,1947.312841947208,1947.312841947208,18,77,18,22,50,18,23,65.21320343559614,273.0,4.0
31,31.0,32758,32758.0,1946.7564927611043,1946.7564927611043,15,68,15,19,44,19,22,-0.5563491861037164,356.0,-3.0
32,32.0,33305,33305.0,1933.099638511612,1933.099638511612,12,44,12,19,31,18,10,-13.656854249492199,547.0,-3.0
33,33.0,33678,33678.0,1988.454977570939,1988.454977570939,15,56,15,17,36,16,16,55.35533905932698,373.0,3.0
34,34.0,33898,33898.0,1993.7981233214466,1993.7981233214466,18,59,18,18,35,17,13,5.343145750507574,220.0,3.0
35,35.0,34192,34192.0,2057.9818895055205,2057.9818895055205,17,67,17,20,46,18,23,64.18376618407387,294.0,-1.0
36,36.0,34699,34699.0,2023.5260453828048,2023.5260453828048,13,50,13,23,34,19,11,-34.45584412271569,507.0,-4.0
37,37.0,34992,34992.0,2106.680374315355,2106.680374315355,18,73,18,21,48,20,22,83.15432893255024,293.0,5.0
38,38.0,35193,35193.0,2043.4966081312818,2043.4966081312818,15,45,15,21,36,17,13,-63.18376618407319,201.0,-3.0
39,39.0,35684,35684.0,2142.0651506262057,2142.0651506262057,23,75,23,14,48,13,26,98.5685424949238,491.0,8.0
40,40.0,36156,36156.0,2131.851947190609,2131.851947190609,18,59,18,22,43,19,19,-10.213203435596824,472.0,-5.0
41,41.0,36547,36547.0,2099.3666658163706,2099.3666658163706,15,39,15,16,31,17,11,-32.485281374238184,391.0,-3.0
42,42.0,36860,36860.0,2108.5382386916244,2108.5382386916244,15,43,15,18,30,18,11,9.171572875253787,313.0,0.0
43,43.0,37211,37211.0,2150.4082963767128,2150.4082963767128,15,51,15,17,34,17,15,41.87005768508834,351.0,0.0
44,44.0,37371,37371.0,2093.3961030678934,2093.3961030678934,11,31,11,16,23,16,6,-57.012193308819406,160.0,-4.0
45,45.0,37370,37370.0,2125.5382386916244,2125.5382386916244,12,38,12,18,27,18,8,32.142135623731065,-1.0,1.0
46,46.0,37842,37842.0,2182.3077913133247,2182.3077913133247,18,59,18,19,41,17,22,56.76955262170031,472.0,6.0
