frame,label,centroid_x,centroid_y,area_px,bbox_minr,bbox_minc,bbox_maxr,bbox_maxc,track_id
0,1,864.1205752212389,558.4802267699115,7232,378,797,720,916,1
0,2,337.0626057529611,573.6909193457417,5319,437,301,720,361,2
0,3,585.0369777777778,582.1921777777778,5625,441,561,720,618,3
0,4,1040.0469483568074,705.1424100156495,639,687,1020,720,1056,4
1,1,863.838497033619,561.1814106789717,7585,374,796,720,918,1
1,2,337.01940681069203,571.8042841450018,5462,432,301,720,361,2
1,3,585.5022283167638,579.4748028796708,5834,436,562,720,620,3
1,4,1040.5293255131965,703.9574780058651,682,684,1020,720,1057,4
2,1,864.0985677083333,560.1458333333334,7680,372,796,720,918,1
2,2,337.03117678861054,571.4730582086862,5549,430,301,720,361,2
2,3,586.4575174244939,578.8679057417856,6026,434,562,720,634,3
2,4,1040.8890449438202,703.2219101123595,712,682,1020,720,1058,4
3,1,864.2895762605306,559.1357978121464,7953,367,796,720,920,1
3,2,336.757676785401,571.2331988068082,5699,429,298,720,361,2
3,3,586.6771856383835,577.8634680405731,6211,431,560,720,634,3
3,4,1041.43250327654,702.1205766710353,763,681,1020,720,1059,4
4,1,864.5490123911177,559.0905410379095,8151,364,796,720,921,1
4,2,336.718755372185,570.2731648616125,5817,425,298,720,361,2
4,3,587.1904611497157,575.7067277321541,6332,426,562,720,634,3
4,4,1041.9776119402984,701.0323383084577,804,678,1020,720,1060,4
5,1,864.6548021235521,557.801278957529,8288,360,796,720,922,1
5,2,336.6036889332004,570.8775340644733,6018,420,298,720,361,2
5,3,588.9351658201374,575.3577830893337,6694,423,560,720,644,3
5,4,1042.8757062146892,699.1841807909605,885,674,1020,720,1062,4
6,1,864.8380306814128,556.5000594601023,8409,357,795,720,923,1
6,2,336.54438063986873,570.3542247744052,6095,418,298,720,361,2
6,3,588.9266587325201,574.2868193989884,6722,421,560,720,644,3
6,4,1043.0087912087913,698.6824175824175,910,673,1020,720,1062,4
7,1,864.9543176785922,555.2909917259061,8581,354,795,720,923,1
7,2,336.34364097684744,568.5626387567396,6306,413,296,720,362,2
7,3,589.2148042704627,571.4166548042705,7025,415,561,720,644,3
7,4,1043.3740779768177,697.8472075869336,949,672,1020,720,1063,4
8,1,865.3463138433094,553.7410446036515,8654,350,795,720,924,1
8,2,336.1347319347319,567.2638694638695,6435,410,294,720,363,2
8,3,589.2608880090497,570.629242081448,7072,414,561,720,644,3
8,4,1044.4292589027912,696.483156881617,1039,668,1020,720,1065,4
9,1,865.6548390765381,551.438416922552,8793,344,793,720,925,1
9,2,335.5250679553005,564.8489882210813,6622,405,289,720,364,2
9,3,589.8251028806584,568.2984910836763,7290,409,561,720,646,3
9,4,1045.33423180593,694.7690925426774,1113,664,1020,720,1067,4
10,1,865.6171389861126,550.8036581235182,8857,343,793,720,925,1
10,3,335.35779133799673,564.4877213871112,6719,404,287,720,365,2
10,4,590.1176391321924,568.0285675784935,7421,407,561,720,648,3
10,5,1045.5153105861768,694.2939632545932,1143,664,1020,720,1068,4
11,1,865.668637732902,550.5664398081,8963,342,793,720,926,1
11,2,335.20549948807957,564.0808834284043,6837,402,287,720,365,2
11,3,590.4636965839719,569.7328224444733,7699,404,562,720,648,3
11,4,1046.0352348993288,693.2147651006711,1192,661,1020,720,1069,4
12,1,866.3601713532513,548.2847100175746,9104,336,793,720,927,1
12,3,335.01241438356163,563.1716609589041,7008,398,286,720,370,2
12,2,590.7424107709894,566.5367712434904,7873,397,562,720,649,3
12,4,1046.9137658227849,691.617088607595,1264,658,1020,720,1071,4
13,1,866.8448669201521,546.3652362846279,9205,331,792,720,927,1
13,2,334.7699176782475,560.2544997907074,7167,391,285,720,370,2
13,3,590.7821831869511,565.6243412797993,7970,395,560,720,649,3
13,4,1047.7378787878788,690.1916666666667,1320,656,1020,720,1073,4
14,1,866.9275940092663,545.6433573968322,9281,329,792,720,928,1
14,2,334.5919690906582,559.4123085414654,7247,389,284,720,370,2
14,3,590.9694978301302,564.3518908865468,8065,393,560,720,649,3
14,4,1047.9381980640358,689.7460908413999,1343,656,1020,720,1074,4
15,1,867.1250133561277,544.5259108879154,9359,327,791,720,928,1
15,2,334.5720153340635,558.4524917853231,7304,388,284,720,370,2
15,3,591.0769418960244,562.5070336391437,8175,388,560,720,649,3
15,4,1048.3127721335268,689.0457184325109,1378,653,1020,720,1074,4
16,1,867.6458617434176,541.6058953110248,9533,319,791,720,929,1
16,3,334.37306543578603,557.4326635894652,7366,386,283,720,370,2
16,2,591.3141342330401,560.7216532112303,8299,384,560,720,650,3
16,4,1048.7141853932585,688.1657303370787,1424,651,1020,720,1075,4
17,1,867.7128528590632,540.6883466032468,9671,317,790,720,930,1
17,3,334.063355704698,556.4323489932885,7450,384,281,720,367,2
17,2,591.3406830437387,559.9158777711204,8345,382,560,720,650,3
17,4,1049.1525773195876,687.3731958762886,1455,649,1020,720,1076,4
18,1,867.9690615685065,539.8365710761641,9729,315,790,720,931,1
18,2,333.7785041841004,554.7298640167364,7648,379,278,720,370,2
18,3,591.9223266745006,558.5030552291422,8510,380,561,720,653,3
18,4,1049.5975773889636,686.5847913862718,1486,648,1020,720,1077,4
19,1,868.085181808974,538.485667983389,9873,312,790,720,931,1
19,2,333.44567030147533,551.9572803078896,7795,373,276,720,369,2
19,3,592.2,555.2845845272207,8725,373,562,720,653,3
19,4,1050.002614379085,685.7862745098039,1530,646,1020,720,1078,4
20,1,868.3170927318296,537.0505263157895,9975,308,790,720,932,1
20,2,333.11867826964306,550.2860385925085,7929,369,274,720,368,2
20,3,592.4357522925393,554.7408581455904,8833,371,560,720,655,3
20,4,1050.995015576324,683.9439252336449,1605,642,1020,720,1079,4
21,1,868.7175237144284,535.4847728407389,10015,305,789,720,933,1
21,2,332.1329917032699,547.1562957540264,8196,365,268,720,368,2
21,3,593.3958494315045,553.6309747212716,9059,368,559,720,661,3
21,4,1051.9220701963118,682.1820345032719,1681,638,1020,720,1081,4
22,1,868.7882574630567,534.3607061390459,10083,303,788,720,934,1
22,2,331.93636363636364,546.4826666666667,8250,364,266,720,368,2
22,3,593.4488093931745,552.7239108965215,9113,366,559,720,661,3
22,4,1052.1866588648331,681.5517846693973,1709,636,1020,720,1082,4
23,1,869.4726653696498,531.941439688716,10280,296,788,720,936,1
23,2,331.44166666666666,544.2216666666667,8400,361,264,720,367,2
23,3,593.7352370689655,550.7143318965517,9280,361,559,720,662,3
23,5,1052.9276018099547,680.0650452488687,1768,633,1020,720,1083,4
24,1,869.7550351739424,530.5582538305869,10377,292,788,720,936,1
24,3,331.30887352010313,543.3184855233853,8531,357,263,720,371,2
24,2,593.9402589134125,548.3847623089983,9424,356,559,720,662,3
24,4,1054.120897155361,677.8960612691466,1828,629,1020,720,1085,4
25,1,869.7608404966571,529.4018147086915,10470,289,787,720,937,1
25,3,330.765221402214,541.043934501845,8672,353,261,720,370,2
25,2,594.3379870806418,546.3841425296937,9598,351,559,720,665,3
25,4,1054.11486849168,677.7203435319377,1863,628,1020,720,1085,4
26,1,870.0055143563416,528.4719528427457,10518,287,787,720,937,1
26,3,330.596543435962,540.1590935103583,8737,351,260,720,370,2
26,2,594.437047007662,545.7728308138331,9658,349,559,720,665,3
26,4,1054.571729957806,676.7236286919831,1896,626,1020,720,1085,4
27,1,870.4412452089371,525.8637001028326,10697,280,787,720,939,1
27,2,330.36666290486403,538.8924500620698,8861,348,258,720,370,2
27,3,594.7363561756258,545.0920188756668,9748,349,559,720,666,3
27,5,1055.9012279765084,674.6300053390283,1873,624,1028,720,1086,4
27,6,1023.6222222222223,715.8,45,712,1020,720,1027,5
28,1,870.5443555886181,525.0853635856425,10754,278,787,720,939,1
28,2,330.0605892162312,536.7219566425792,8995,343,257,720,370,2
28,3,594.9475876079229,543.5855764347384,9845,346,559,720,666,3
28,4,1055.4305204648813,674.8559878726629,1979,622,1020,720,1086,4
29,1,870.8105670103092,523.4408136966126,10864,275,786,720,941,1
29,3,329.7091646568735,534.8780969085727,9122,339,255,720,370,2
29,2,595.2017474185861,540.1941024622716,10072,337,559,720,665,3
29,4,1056.4997585707388,672.5934331240946,2071,617,1020,720,1088,4
30,1,870.942588535962,522.6847389558233,10956,273,786,720,941,1
30,3,329.51613958560523,533.913304252999,9170,337,253,720,370,2
30,2,595.4611903590752,539.2833251352681,10165,335,559,720,667,3
30,4,1056.9109426811938,671.6409284699195,2111,616,1020,720,1090,4
31,1,870.9634443541836,522.1572344074375,11079,271,785,720,941,1
31,3,329.24938165394127,532.4775782342188,9299,334,251,720,370,2
31,2,595.6308849384645,538.281988669662,10238,333,560,720,667,3
31,4,1057.2063492063492,670.9645191409898,2142,614,1020,720,1090,4
32,1,871.5738944745974,519.850520508942,11239,264,785,720,944,1
32,2,329.10268948655255,530.6718401190602,9407,329,251,720,370,2
32,3,596.17472190257,536.5043153049482,10428,330,559,720,669,3
32,4,1058.2725235320484,668.7032720753026,2231,609,1020,720,1092,4
33,1,871.7158860368704,518.5438828614272,11337,261,785,720,944,1
33,3,328.81665087885483,528.8574886854016,9501,325,250,720,370,2
33,2,596.2945795099802,534.2241982783086,10571,323,559,720,669,3
33,4,1058.755839576906,667.6425738210665,2269,607,1020,720,1093,4
34,1,871.9051716568619,517.7317587145491,11389,259,784,720,944,1
34,3,328.6642648287385,528.063074352548,9576,323,249,720,371,2
34,2,596.4352234322193,533.3533608711979,10652,321,559,720,671,3
34,5,1058.8140350877193,667.3736842105263,2280,607,1020,720,1093,4
35,1,872.2523975588492,516.0811682650392,11470,256,784,720,945,1
35,3,328.3946253229974,526.8650129198967,9675,320,248,720,370,2
35,2,596.7254445582348,532.3022064984639,10741,319,559,720,671,3
35,5,1059.2290672451193,666.4264642082429,2305,605,1020,720,1093,4
36,1,872.5791976482794,514.921580494553,11566,252,784,720,947,1
36,3,328.31600491199345,525.1332378223495,9772,315,248,720,370,2
36,2,597.1125137211856,529.0374130991585,10932,311,561,720,672,3
36,4,1060.290242898312,664.0247015232605,2429,599,1019,720,1096,4
37,1,872.8860357265545,513.4534524218482,11644,249,784,720,947,1
37,3,328.31897164922265,524.1842292449954,9841,313,248,720,371,2
37,2,597.4496053705888,527.8525809670689,11023,309,562,720,673,3
37,4,1060.6980676328503,662.9037842190016,2484,596,1019,720,1096,4
38,1,872.9838640826432,512.5839665329122,11713,247,784,720,948,1
38,3,328.278277569999,523.3597493176994,9893,311,248,720,371,2
38,2,597.580598629643,526.9313919942301,11092,307,563,720,673,3
38,5,1060.7794707297514,662.5244587008821,2494,595,1019,720,1096,4
39,1,873.4816316189512,510.17633645806944,11841,242,784,720,949,1
39,3,328.07842941352783,521.2687581176941,10009,306,247,720,371,2
39,2,598.0225717586421,525.305785123967,11253,304,563,720,674,3
39,4,1061.2581775700935,661.3010124610591,2568,593,1018,720,1097,4
40,1,873.9268068769821,508.128442663996,11982,236,784,720,950,1
40,3,327.88201637565356,519.6835355627898,10137,302,245,720,372,2
40,2,598.2338604001048,522.6428758626714,11447,297,563,720,675,3
40,4,1061.2751261156384,661.3337213814513,2577,592,1018,720,1096,4
41,1,874.1222021066491,506.8245556287031,12152,232,783,720,951,1
41,3,327.6795661096453,517.4901788331867,10233,297,244,720,370,2
41,2,598.3551765927978,522.069858033241,11552,294,559,720,675,3
41,4,1061.3977011494253,660.8942528735632,2610,591,1018,720,1097,4
42,1,874.2378628933886,506.09270553793607,12297,230,783,720,951,1
42,3,327.44791161934296,516.6098459153019,10319,295,244,720,371,2
42,2,598.468825353083,521.3585945573544,11612,292,560,720,676,3
42,4,1061.2351823708207,661.2952127659574,2632,591,1018,720,1097,4
43,1,874.3039089000162,505.7936520755936,12382,228,783,720,951,1
43,3,327.0555236454145,514.5429829599847,10446,290,242,720,371,2
43,2,598.8232138295155,519.8332623690709,11743,289,559,720,676,3
43,4,1061.167803030303,661.3469696969697,2640,591,1018,720,1097,4
44,1,874.643437676028,504.5840508570049,12427,225,783,720,952,1
44,3,326.9929422985217,513.857606103958,10485,288,242,720,371,2
44,2,598.9811896288765,518.7801220132181,11802,286,561,720,676,3
44,4,1061.0828001505458,661.6236356793376,2657,591,1018,720,1097,4
45,1,874.6605534105535,504.5108590733591,12432,225,783,720,952,1
45,3,326.9969483120351,513.8631508678237,10486,288,242,720,371,2
45,2,598.9886488775942,518.7711139347734,11805,286,561,720,676,3
45,4,1060.986399697771,661.8209293539857,2647,591,1018,720,1096,4
46,1,874.7036655030149,504.034909552523,12604,223,783,720,953,1
46,2,326.61103266497224,512.059587687094,10623,284,240,720,371,2
46,3,599.3324113653508,517.4012237029586,11931,284,561,720,676,3
46,4,1061.0398658718332,661.7634128166915,2684,591,1018,720,1097,4
