frame,time_min,hyphal_area_px,hyphal_area_um2,hyphal_length_px,hyphal_length_um,branch_points,raw_junction_pixel_count,normalized_branch_point_count,tip_count,skan_graph_branches,skan_terminal_branches,skan_junction_to_junction_branches,small_object_count,small_object_area_px,hyphal_object_count,hyphal_mask_area_px,length_growth_um_per_min,area_growth_um2_per_min,branch_growth_per_min
0,0.0,17556,17556.0,1049.8599564173228,1049.8599564173228,3,10,3,11,10,7,1,0,0,4,17556,,,
1,1.0,18220,18220.0,1093.5878784786808,1093.5878784786808,4,14,4,12,12,10,1,0,0,4,18220,43.72792206135796,664.0,1.0
2,2.0,18522,18522.0,1119.0020920410539,1119.0020920410539,5,21,5,11,15,9,5,0,0,4,18522,25.414213562373106,302.0,1.0
3,3.0,19118,19118.0,1106.4163056034267,1106.4163056034267,4,12,4,12,12,10,1,0,0,4,19118,-12.585786437627121,596.0,-1.0
4,4.0,19645,19645.0,1144.2447327281727,1144.2447327281727,7,29,7,12,18,10,6,0,0,4,19645,37.828427124745986,527.0,3.0
5,5.0,20128,20128.0,1189.3574311003808,1189.3574311003808,7,23,7,12,18,10,5,0,0,4,20128,45.112698372208115,483.0,0.0
6,6.0,20377,20377.0,1228.1564209736043,1228.1564209736043,9,25,9,14,22,12,5,0,0,4,20377,38.79898987322349,249.0,2.0
7,7.0,21184,21184.0,1259.5411972844543,1259.5411972844543,8,27,8,14,22,14,7,0,0,4,21184,31.38477631084993,807.0,-1.0
8,8.0,21429,21429.0,1248.1269837220811,1248.1269837220811,7,17,7,11,16,9,4,0,0,4,21429,-11.414213562373106,245.0,-1.0
9,9.0,22128,22128.0,1269.9554108468276,1269.9554108468276,5,14,5,15,15,11,2,0,0,4,22128,21.82842712474644,699.0,-2.0
10,10.0,22405,22405.0,1320.4112549695435,1320.4112549695435,8,26,8,15,21,13,4,1,1,4,22404,50.45584412271592,277.0,3.0
11,11.0,22960,22960.0,1345.9970414071702,1345.9970414071702,8,23,8,12,18,10,5,0,0,4,22960,25.585786437626666,555.0,0.0
12,12.0,23388,23388.0,1347.168614282424,1347.168614282424,7,25,7,15,18,13,4,0,0,4,23388,1.171572875253787,428.0,-1.0
13,13.0,23768,23768.0,1385.0681092190357,1385.0681092190357,7,24,7,15,18,13,3,0,0,4,23768,37.899494936611745,380.0,0.0
14,14.0,24141,24141.0,1438.766594028871,1438.766594028871,11,44,11,15,27,13,8,0,0,4,24141,53.698484809835236,373.0,4.0
15,15.0,24527,24527.0,1420.281312654632,1420.281312654632,7,24,7,13,17,13,4,0,0,3,24527,-18.485281374238866,386.0,-4.0
16,16.0,24887,24887.0,1484.908729652602,1484.908729652602,11,40,11,10,23,10,9,0,0,3,24887,64.62741699796993,360.0,4.0
17,17.0,25123,25123.0,1494.0803025278558,1494.0803025278558,10,40,10,11,22,11,8,0,0,3,25123,9.171572875253787,236.0,-1.0
18,18.0,25519,25519.0,1488.908729652602,1488.908729652602,9,32,9,14,22,12,7,0,0,3,25519,-5.171572875253787,396.0,-1.0
19,19.0,26003,26003.0,1493.5655839020937,1493.5655839020937,8,24,8,12,18,12,5,0,0,3,26003,4.656854249491744,484.0,-1.0
20,20.0,26402,26402.0,1507.1513703397209,1507.1513703397209,8,22,8,12,18,12,5,0,0,3,26402,13.585786437627121,399.0,0.0
21,21.0,26816,26816.0,1541.1219330881981,1541.1219330881981,9,28,9,12,21,12,7,0,0,3,26816,33.97056274847728,414.0,1.0
22,22.0,27042,27042.0,1598.7909806465104,1598.7909806465104,12,37,12,17,30,14,11,0,0,3,27042,57.669047558312286,226.0,3.0
23,23.0,27725,27725.0,1639.276262020749,1639.276262020749,13,50,13,12,30,12,16,0,0,3,27725,40.48528137423864,683.0,1.0
24,24.0,28059,28059.0,1649.8620484583757,1649.8620484583757,11,40,11,12,27,12,13,0,0,3,28059,10.585786437626666,334.0,-2.0
25,25.0,28492,28492.0,1685.41839764448,1685.41839764448,12,51,12,12,33,12,17,0,0,3,28492,35.55634918610417,433.0,1.0
26,26.0,28700,28700.0,1709.3889603929567,1709.3889603929567,13,50,13,11,34,11,19,1,1,3,28699,23.970562748476823,208.0,1.0
27,27.0,29159,29159.0,1700.0041840821066,1700.0041840821066,11,52,11,12,33,12,20,1,1,3,29158,-9.384776310850157,459.0,-2.0
28,28.0,29397,29397.0,1710.8326112068535,1710.8326112068535,11,48,11,12,30,12,16,0,0,3,29397,10.828427124746895,238.0,0.0
29,29.0,29839,29839.0,1746.2173875177034,1746.2173875177034,13,53,13,14,34,14,16,0,0,3,29839,35.38477631084993,442.0,2.0
30,30.0,30051,30051.0,1776.9453095790611,1776.9453095790611,14,59,14,12,36,12,19,0,0,3,30051,30.72792206135773,212.0,1.0
31,31.0,30405,30405.0,1777.2173875177032,1777.2173875177032,12,57,12,14,34,14,18,0,0,3,30405,0.2720779386420418,354.0,-2.0
32,32.0,30860,30860.0,1802.2173875177036,1802.2173875177036,12,51,12,14,31,12,15,0,0,3,30860,25.000000000000455,455.0,0.0
33,33.0,31258,31258.0,1803.945309579061,1803.945309579061,11,54,11,13,32,13,17,0,0,3,31258,1.727922061357276,398.0,-1.0
34,34.0,31477,31477.0,1823.6732316404193,1823.6732316404193,13,49,13,12,30,10,13,0,0,3,31477,19.727922061358413,219.0,2.0
35,35.0,31739,31739.0,1865.5727265770306,1865.5727265770306,13,52,13,12,33,12,18,0,0,3,31739,41.89949493661129,262.0,0.0
36,36.0,32149,32149.0,1853.3300858899115,1853.3300858899115,10,41,10,14,28,14,13,0,0,3,32149,-12.242640687119092,410.0,-3.0
37,37.0,32448,32448.0,1895.0285706997463,1895.0285706997463,13,49,13,14,32,14,14,0,0,3,32448,41.69848480983478,299.0,3.0
38,38.0,32677,32677.0,1875.7148622007617,1875.7148622007617,11,32,11,14,25,12,10,0,0,3,32677,-19.313708498984624,229.0,-2.0
39,39.0,33086,33086.0,1916.5138520739852,1916.5138520739852,15,55,15,12,36,12,21,0,0,3,33086,40.79898987322349,409.0,4.0
40,40.0,33532,33532.0,1921.9280656363585,1921.9280656363585,12,47,12,15,30,15,12,0,0,3,33532,5.414213562373334,446.0,-3.0
41,41.0,33952,33952.0,1924.513852073985,1924.513852073985,11,38,11,14,25,14,9,0,0,3,33952,2.585786437626439,420.0,-1.0
42,42.0,34208,34208.0,1930.5138520739847,1930.5138520739847,10,38,10,14,25,14,9,0,0,3,34208,5.999999999999773,256.0,-1.0
43,43.0,34535,34535.0,1969.1412690719549,1969.1412690719549,11,46,11,14,28,14,11,0,0,3,34535,38.62741699797016,327.0,1.0
44,44.0,34671,34671.0,1939.5138520739852,1939.5138520739852,9,31,9,14,22,14,7,0,0,3,34671,-29.627416997969704,136.0,-2.0
45,45.0,34678,34678.0,1959.8275605729698,1959.8275605729698,11,41,11,18,30,16,12,0,0,3,34678,20.313708498984624,7.0,2.0
46,46.0,35134,35134.0,1982.1412690719546,1982.1412690719546,11,40,11,15,30,13,15,0,0,3,35134,22.31370849898485,456.0,0.0
