frame,time_min,hyphal_area_px,hyphal_area_um2,hyphal_length_px,hyphal_length_um,branch_points,raw_junction_pixel_count,normalized_branch_point_count,tip_count,skan_graph_branches,skan_terminal_branches,skan_junction_to_junction_branches,small_object_count,small_object_area_px,hyphal_object_count,hyphal_mask_area_px,length_growth_um_per_min,area_growth_um2_per_min,branch_growth_per_min
0,0.0,18061,18061.0,1137.771644662754,1137.771644662754,5,14,5,15,15,11,2,0,0,4,18061,,,
1,1.0,18763,18763.0,1157.3574311003808,1157.3574311003808,5,16,5,15,15,11,2,0,0,4,18763,19.585786437626894,702.0,0.0
2,2.0,19107,19107.0,1184.6000717875,1184.6000717875,6,20,6,14,16,12,3,0,0,4,19107,27.242640687119092,344.0,1.0
3,3.0,19704,19704.0,1196.4995667241114,1196.4995667241114,6,18,6,14,16,12,3,0,0,4,19704,11.899494936611518,597.0,0.0
4,4.0,20267,20267.0,1229.156420973604,1229.156420973604,9,37,9,14,22,12,7,0,0,4,20267,32.65685424949265,563.0,3.0
5,5.0,20823,20823.0,1266.2691193458124,1266.2691193458124,10,34,10,13,23,11,8,0,0,4,20823,37.11269837220834,556.0,1.0
6,6.0,21037,21037.0,1297.168614282424,1297.168614282424,10,35,10,16,26,10,9,0,0,4,21037,30.899494936611518,214.0,0.0
7,7.0,21860,21860.0,1362.9381669041243,1362.9381669041243,12,44,12,16,32,14,14,0,0,4,21860,65.76955262170031,823.0,2.0
8,8.0,22189,22189.0,1333.9676041556472,1333.9676041556472,10,35,10,15,24,13,7,0,0,4,22189,-28.97056274847705,329.0,-2.0
9,9.0,22870,22870.0,1376.766594028871,1376.766594028871,9,33,9,16,23,12,7,0,0,4,22870,42.79898987322372,681.0,-1.0
10,10.0,23155,23155.0,1413.9087296526016,1413.9087296526016,10,39,10,18,27,14,8,1,1,4,23154,37.14213562373061,285.0,1.0
11,11.0,23614,23614.0,1451.7077195258248,1451.7077195258248,11,43,11,14,28,14,12,1,1,4,23613,37.79898987322326,459.0,1.0
12,12.0,24046,24046.0,1403.6660889654822,1403.6660889654822,7,26,7,15,18,13,4,0,0,4,24046,-48.04163056034258,432.0,-4.0
13,13.0,24511,24511.0,1469.8792924010788,1469.8792924010788,9,37,9,16,23,14,6,0,0,4,24511,66.2132034355966,465.0,2.0
14,14.0,24832,24832.0,1525.6782822743023,1525.6782822743023,12,54,12,15,30,13,11,0,0,4,24832,55.79898987322349,321.0,3.0
15,15.0,25088,25088.0,1454.0508652763326,1454.0508652763326,7,26,7,15,18,13,4,0,0,4,25088,-71.6274169979697,256.0,-5.0
16,16.0,25511,25511.0,1517.02142802481,1517.02142802481,9,34,9,14,22,12,7,0,0,4,25511,62.97056274847728,423.0,2.0
17,17.0,25784,25784.0,1526.1930009000637,1526.1930009000637,9,37,9,14,22,12,7,0,0,4,25784,9.171572875253787,273.0,0.0
18,18.0,26201,26201.0,1527.02142802481,1527.02142802481,8,31,8,17,22,13,6,0,0,4,26201,0.8284271247462129,417.0,-1.0
19,19.0,26734,26734.0,1538.7493500861676,1538.7493500861676,7,22,7,15,18,13,4,0,0,4,26734,11.72792206135773,533.0,-1.0
20,20.0,27198,27198.0,1555.7493500861676,1555.7493500861676,7,20,7,15,18,13,4,0,0,4,27198,17.0,464.0,0.0
21,21.0,27621,27621.0,1586.1341263970178,1586.1341263970178,8,26,8,15,21,13,6,0,0,4,27621,30.384776310850157,423.0,1.0
22,22.0,27866,27866.0,1649.3889603929572,1649.3889603929572,11,35,11,19,29,15,10,0,0,4,27866,63.25483399593941,245.0,3.0
23,23.0,28459,28459.0,1658.1463197058374,1658.1463197058374,9,32,9,17,25,13,10,0,0,4,28459,8.757359312880226,593.0,-2.0
24,24.0,28855,28855.0,1694.2884553295685,1694.2884553295685,10,38,10,15,28,13,12,0,0,4,28855,36.142135623731065,396.0,1.0
25,25.0,29396,29396.0,1748.6732316404186,1748.6732316404186,12,53,12,14,34,12,17,0,0,4,29396,54.38477631085016,541.0,2.0
26,26.0,29629,29629.0,1782.5432893255077,1782.5432893255077,13,52,13,12,36,10,21,1,1,4,29628,33.87005768508902,233.0,1.0
27,27.0,30100,30100.0,1745.1879502661802,1745.1879502661802,10,40,10,15,27,13,11,1,1,4,30099,-37.355339059327434,471.0,-3.0
28,28.0,30410,30410.0,1755.4305909532993,1755.4305909532993,8,34,8,15,24,13,8,0,0,4,30410,10.242640687119092,310.0,-2.0
29,29.0,30915,30915.0,1791.2590180780455,1791.2590180780455,9,31,9,18,24,18,5,0,0,4,30915,35.82842712474621,505.0,1.0
30,30.0,31125,31125.0,1833.129075763135,1833.129075763135,12,43,12,15,30,15,10,1,1,4,31124,41.87005768508948,210.0,3.0
31,31.0,31543,31543.0,1868.472221513642,1868.472221513642,12,55,12,17,33,17,13,0,0,4,31543,35.34314575050689,418.0,0.0
32,32.0,32021,32021.0,1890.7148622007614,1890.7148622007614,12,43,12,17,28,15,10,0,0,4,32021,22.242640687119547,478.0,0.0
33,33.0,32415,32415.0,1875.7148622007614,1875.7148622007614,10,36,10,19,26,17,7,0,0,4,32415,-15.0,394.0,-2.0
34,34.0,32639,32639.0,1931.5849198858502,1931.5849198858502,13,53,13,14,34,14,16,0,0,4,32639,55.870057685088796,224.0,3.0
35,35.0,32923,32923.0,1951.2712113868658,1951.2712113868658,12,47,12,16,29,16,11,0,0,4,32923,19.686291501015603,284.0,-1.0
36,36.0,33326,33326.0,1945.4427842621194,1945.4427842621194,11,46,11,17,28,17,9,0,0,4,33326,-5.82842712474644,403.0,-1.0
37,37.0,33673,33673.0,1994.2123368838197,1994.2123368838197,13,51,13,18,34,18,12,0,0,4,33673,48.76955262170031,347.0,2.0
38,38.0,33917,33917.0,1995.7981233214468,1995.7981233214468,12,47,12,16,29,14,11,0,0,4,33917,1.585786437627121,244.0,-1.0
39,39.0,34328,34328.0,2048.0529573173853,2048.0529573173853,18,63,18,16,41,16,22,0,0,4,34328,52.2548339959385,411.0,6.0
40,40.0,34780,34780.0,2031.8397538817899,2031.8397538817899,12,46,12,18,30,18,10,0,0,4,34780,-16.21320343559546,452.0,-6.0
41,41.0,35192,35192.0,2057.881384442132,2057.881384442132,12,43,12,16,29,16,11,0,0,4,35192,26.041630560342128,412.0,0.0
42,42.0,35454,35454.0,2066.3961030678934,2066.3961030678934,13,49,13,17,31,17,11,1,4,4,35450,8.514718625761361,262.0,1.0
43,43.0,35801,35801.0,2110.5088014401013,2110.5088014401013,14,65,14,17,37,17,15,0,0,4,35801,44.11269837220789,347.0,1.0
44,44.0,35972,35972.0,2076.98188950552,2076.98188950552,11,36,11,16,26,16,8,0,0,4,35972,-33.52691193458122,171.0,-3.0
45,45.0,35967,35967.0,2080.22453019264,2080.22453019264,12,45,12,18,30,18,10,0,0,4,35967,3.2426406871200015,-5.0,1.0
46,46.0,36442,36442.0,2088.124025129251,2088.124025129251,10,34,10,19,26,17,7,0,0,4,36442,7.899494936611063,475.0,-2.0
